Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.064, 0.064, 0.000, 0.000, 0.172, 0.059, 0.594, 0.059] | Action Distribution: FORWARD: 0.1639 | TURN_LEFT: 0.1702 | TURN_RIGHT: 0.1799 | FORWARD_LEFT: 0.1643 | FORWARD_RIGHT: 0.1668 | BACKWARD: 0.1550 | Selected: BACKWARD (prob: 0.1550)
Episode 67 | Step 1 | State: [0.155, 0.389, 0.000, 0.000, 1.000, 1.000, 0.689, 0.059] | Action Distribution: FORWARD: 0.1349 | TURN_LEFT: 0.1740 | TURN_RIGHT: 0.2487 | FORWARD_LEFT: 0.1346 | FORWARD_RIGHT: 0.1888 | BACKWARD: 0.1190 | Selected: TURN_RIGHT (prob: 0.2487)
Episode 68 | Step 1 | State: [0.120, 0.390, 0.000, 0.000, 1.000, 0.930, 0.672, 0.059] | Action Distribution: FORWARD: 0.1360 | TURN_LEFT: 0.1738 | TURN_RIGHT: 0.2444 | FORWARD_LEFT: 0.1357 | FORWARD_RIGHT: 0.1887 | BACKWARD: 0.1213 | Selected: FORWARD (prob: 0.1360)
Episode 69 | Step 1 | State: [0.349, 0.246, 0.000, 0.000, 1.000, 1.000, 0.722, 0.059] | Action Distribution: FORWARD: 0.1285 | TURN_LEFT: 0.1738 | TURN_RIGHT: 0.2569 | FORWARD_LEFT: 0.1344 | FORWARD_RIGHT: 0.1864 | BACKWARD: 0.1200 | Selected: TURN_RIGHT (prob: 0.2569)
Episode 70 | Step 1 | State: [0.325, 0.274, 0.000, 0.000, 1.000, 1.000, 0.728, 0.059] | Action Distribution: FORWARD: 0.1291 | TURN_LEFT: 0.1739 | TURN_RIGHT: 0.2566 | FORWARD_LEFT: 0.1347 | FORWARD_RIGHT: 0.1860 | BACKWARD: 0.1197 | Selected: FORWARD_RIGHT (prob: 0.1860)
Episode 71 | Step 1 | State: [0.236, 0.357, 0.000, 0.000, 1.000, 1.000, 0.721, 0.059] | Action Distribution: FORWARD: 0.1320 | TURN_LEFT: 0.1743 | TURN_RIGHT: 0.2531 | FORWARD_LEFT: 0.1349 | FORWARD_RIGHT: 0.1867 | BACKWARD: 0.1191 | Selected: TURN_RIGHT (prob: 0.2531)
Episode 72 | Step 1 | State: [0.212, 0.374, 0.000, 0.000, 1.000, 1.000, 0.719, 0.059] | Action Distribution: FORWARD: 0.1326 | TURN_LEFT: 0.1745 | TURN_RIGHT: 0.2522 | FORWARD_LEFT: 0.1349 | FORWARD_RIGHT: 0.1867 | BACKWARD: 0.1190 | Selected: TURN_LEFT (prob: 0.1745)
Episode 73 | Step 1 | State: [0.237, 0.358, 0.000, 0.000, 1.000, 1.000, 0.722, 0.059] | Action Distribution: FORWARD: 0.1316 | TURN_LEFT: 0.1745 | TURN_RIGHT: 0.2535 | FORWARD_LEFT: 0.1349 | FORWARD_RIGHT: 0.1864 | BACKWARD: 0.1192 | Selected: TURN_LEFT (prob: 0.1745)
Episode 74 | Step 1 | State: [0.267, 0.335, 0.000, 0.000, 1.000, 1.000, 0.729, 0.059] | Action Distribution: FORWARD: 0.1304 | TURN_LEFT: 0.1746 | TURN_RIGHT: 0.2547 | FORWARD_LEFT: 0.1349 | FORWARD_RIGHT: 0.1859 | BACKWARD: 0.1194 | Selected: BACKWARD (prob: 0.1194)
Episode 75 | Step 1 | State: [1.000, 1.000, 0.000, 0.000, 0.436, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1291 | TURN_LEFT: 0.1728 | TURN_RIGHT: 0.2458 | FORWARD_LEFT: 0.1534 | FORWARD_RIGHT: 0.1849 | BACKWARD: 0.1140 | Selected: TURN_RIGHT (prob: 0.2458)
Episode 76 | Step 1 | State: [1.000, 1.000, 0.000, 0.000, 0.424, 0.059, 1.000, 0.059] | Action Distribution: FORWARD: 0.1291 | TURN_LEFT: 0.1731 | TURN_RIGHT: 0.2459 | FORWARD_LEFT: 0.1534 | FORWARD_RIGHT: 0.1844 | BACKWARD: 0.1142 | Selected: FORWARD_RIGHT (prob: 0.1844)
Episode 77 | Step 1 | State: [0.158, 0.424, 0.000, 0.000, 1.000, 0.059, 0.702, 1.000] | Action Distribution: FORWARD: 0.1120 | TURN_LEFT: 0.1364 | TURN_RIGHT: 0.2275 | FORWARD_LEFT: 0.1540 | FORWARD_RIGHT: 0.2074 | BACKWARD: 0.1627 | Selected: TURN_LEFT (prob: 0.1364)
Episode 78 | Step 1 | State: [0.199, 0.420, 0.000, 0.000, 1.000, 0.059, 0.719, 1.000] | Action Distribution: FORWARD: 0.1111 | TURN_LEFT: 0.1373 | TURN_RIGHT: 0.2294 | FORWARD_LEFT: 0.1539 | FORWARD_RIGHT: 0.2071 | BACKWARD: 0.1613 | Selected: TURN_RIGHT (prob: 0.2294)
Episode 79 | Step 1 | State: [0.158, 0.426, 0.000, 0.000, 1.000, 0.059, 0.702, 1.000] | Action Distribution: FORWARD: 0.1117 | TURN_LEFT: 0.1363 | TURN_RIGHT: 0.2282 | FORWARD_LEFT: 0.1540 | FORWARD_RIGHT: 0.2072 | BACKWARD: 0.1626 | Selected: TURN_LEFT (prob: 0.1363)
Episode 80 | Step 1 | State: [0.199, 0.421, 0.000, 0.000, 1.000, 0.059, 0.719, 1.000] | Action Distribution: FORWARD: 0.1108 | TURN_LEFT: 0.1371 | TURN_RIGHT: 0.2302 | FORWARD_LEFT: 0.1539 | FORWARD_RIGHT: 0.2068 | BACKWARD: 0.1612 | Selected: TURN_RIGHT (prob: 0.2302)
Episode 81 | Step 1 | State: [0.158, 0.427, 0.000, 0.000, 1.000, 0.059, 0.702, 1.000] | Action Distribution: FORWARD: 0.1114 | TURN_LEFT: 0.1361 | TURN_RIGHT: 0.2289 | FORWARD_LEFT: 0.1540 | FORWARD_RIGHT: 0.2069 | BACKWARD: 0.1626 | Selected: FORWARD_LEFT (prob: 0.1540)
Episode 82 | Step 1 | State: [0.270, 0.333, 0.000, 0.000, 1.000, 0.059, 0.729, 1.000] | Action Distribution: FORWARD: 0.1101 | TURN_LEFT: 0.1392 | TURN_RIGHT: 0.2319 | FORWARD_LEFT: 0.1534 | FORWARD_RIGHT: 0.2044 | BACKWARD: 0.1610 | Selected: TURN_RIGHT (prob: 0.2319)
Episode 83 | Step 1 | State: [0.240, 0.359, 0.000, 0.000, 1.000, 0.059, 0.724, 1.000] | Action Distribution: FORWARD: 0.1104 | TURN_LEFT: 0.1383 | TURN_RIGHT: 0.2312 | FORWARD_LEFT: 0.1537 | FORWARD_RIGHT: 0.2048 | BACKWARD: 0.1615 | Selected: FORWARD_RIGHT (prob: 0.2048)
Episode 84 | Step 1 | State: [0.368, 0.161, 0.000, 0.000, 1.000, 0.059, 0.654, 0.707] | Action Distribution: FORWARD: 0.1131 | TURN_LEFT: 0.1462 | TURN_RIGHT: 0.2315 | FORWARD_LEFT: 0.1521 | FORWARD_RIGHT: 0.1970 | BACKWARD: 0.1601 | Selected: FORWARD (prob: 0.1131)
Episode 85 | Step 1 | State: [0.292, 0.310, 0.000, 0.000, 1.000, 0.059, 0.731, 1.000] | Action Distribution: FORWARD: 0.1095 | TURN_LEFT: 0.1393 | TURN_RIGHT: 0.2333 | FORWARD_LEFT: 0.1532 | FORWARD_RIGHT: 0.2037 | BACKWARD: 0.1610 | Selected: FORWARD_LEFT (prob: 0.1532)
Episode 86 | Step 1 | State: [0.351, 0.235, 0.000, 0.000, 0.593, 0.059, 0.716, 1.000] | Action Distribution: FORWARD: 0.1197 | TURN_LEFT: 0.1463 | TURN_RIGHT: 0.2209 | FORWARD_LEFT: 0.1629 | FORWARD_RIGHT: 0.1962 | BACKWARD: 0.1541 | Selected: TURN_RIGHT (prob: 0.2209)
Episode 87 | Step 1 | State: [0.328, 0.264, 0.000, 0.000, 1.000, 0.059, 0.723, 1.000] | Action Distribution: FORWARD: 0.1088 | TURN_LEFT: 0.1396 | TURN_RIGHT: 0.2348 | FORWARD_LEFT: 0.1527 | FORWARD_RIGHT: 0.2033 | BACKWARD: 0.1609 | Selected: TURN_RIGHT (prob: 0.2348)
Episode 88 | Step 1 | State: [0.301, 0.291, 0.000, 0.000, 1.000, 0.059, 0.727, 1.000] | Action Distribution: FORWARD: 0.1091 | TURN_LEFT: 0.1392 | TURN_RIGHT: 0.2343 | FORWARD_LEFT: 0.1530 | FORWARD_RIGHT: 0.2031 | BACKWARD: 0.1613 | Selected: TURN_RIGHT (prob: 0.2343)
Episode 89 | Step 1 | State: [0.275, 0.319, 0.000, 0.000, 0.547, 0.059, 0.727, 1.000] | Action Distribution: FORWARD: 0.1195 | TURN_LEFT: 0.1442 | TURN_RIGHT: 0.2196 | FORWARD_LEFT: 0.1651 | FORWARD_RIGHT: 0.1973 | BACKWARD: 0.1543 | Selected: TURN_RIGHT (prob: 0.2196)
Episode 90 | Step 1 | State: [0.247, 0.345, 0.000, 0.000, 0.058, 0.059, 0.722, 1.000] | Action Distribution: FORWARD: 0.1300 | TURN_LEFT: 0.1507 | TURN_RIGHT: 0.2129 | FORWARD_LEFT: 0.1678 | FORWARD_RIGHT: 0.1921 | BACKWARD: 0.1465 | Selected: TURN_RIGHT (prob: 0.2129)
Episode 91 | Step 1 | State: [0.220, 0.365, 0.000, 0.000, 0.058, 0.059, 0.714, 1.000] | Action Distribution: FORWARD: 0.1298 | TURN_LEFT: 0.1501 | TURN_RIGHT: 0.2121 | FORWARD_LEFT: 0.1676 | FORWARD_RIGHT: 0.1931 | BACKWARD: 0.1474 | Selected: FORWARD (prob: 0.1298)
Episode 92 | Step 1 | State: [0.064, 0.110, 0.000, 0.000, 0.058, 1.000, 0.578, 0.104] | Action Distribution: FORWARD: 0.1640 | TURN_LEFT: 0.1719 | TURN_RIGHT: 0.1984 | FORWARD_LEFT: 0.1582 | FORWARD_RIGHT: 0.1686 | BACKWARD: 0.1388 | Selected: TURN_LEFT (prob: 0.1719)
Episode 93 | Step 1 | State: [0.064, 0.111, 0.000, 0.000, 0.058, 1.000, 0.578, 0.128] | Action Distribution: FORWARD: 0.1637 | TURN_LEFT: 0.1716 | TURN_RIGHT: 0.1980 | FORWARD_LEFT: 0.1588 | FORWARD_RIGHT: 0.1683 | BACKWARD: 0.1395 | Selected: TURN_RIGHT (prob: 0.1980)
Episode 94 | Step 1 | State: [0.064, 0.110, 0.000, 0.000, 0.058, 1.000, 0.578, 0.104] | Action Distribution: FORWARD: 0.1638 | TURN_LEFT: 0.1720 | TURN_RIGHT: 0.1986 | FORWARD_LEFT: 0.1583 | FORWARD_RIGHT: 0.1684 | BACKWARD: 0.1389 | Selected: TURN_RIGHT (prob: 0.1986)
Episode 95 | Step 1 | State: [0.086, 0.086, 0.000, 0.000, 1.000, 1.000, 0.578, 0.081] | Action Distribution: FORWARD: 0.1322 | TURN_LEFT: 0.1721 | TURN_RIGHT: 0.2478 | FORWARD_LEFT: 0.1341 | FORWARD_RIGHT: 0.1845 | BACKWARD: 0.1291 | Selected: TURN_RIGHT (prob: 0.2478)
Episode 96 | Step 1 | State: [0.114, 0.064, 0.000, 0.000, 1.000, 1.000, 0.578, 0.073] | Action Distribution: FORWARD: 0.1319 | TURN_LEFT: 0.1722 | TURN_RIGHT: 0.2484 | FORWARD_LEFT: 0.1339 | FORWARD_RIGHT: 0.1843 | BACKWARD: 0.1293 | Selected: TURN_RIGHT (prob: 0.2484)
Episode 97 | Step 1 | State: [0.140, 0.064, 0.000, 0.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1313 | TURN_LEFT: 0.1721 | TURN_RIGHT: 0.2494 | FORWARD_LEFT: 0.1338 | FORWARD_RIGHT: 0.1842 | BACKWARD: 0.1292 | Selected: TURN_RIGHT (prob: 0.2494)
Episode 98 | Step 1 | State: [0.144, 0.064, 0.000, 0.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1311 | TURN_LEFT: 0.1720 | TURN_RIGHT: 0.2496 | FORWARD_LEFT: 0.1339 | FORWARD_RIGHT: 0.1841 | BACKWARD: 0.1294 | Selected: TURN_RIGHT (prob: 0.2496)
Episode 99 | Step 1 | State: [0.146, 0.064, 0.000, 0.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1309 | TURN_LEFT: 0.1719 | TURN_RIGHT: 0.2497 | FORWARD_LEFT: 0.1340 | FORWARD_RIGHT: 0.1839 | BACKWARD: 0.1296 | Selected: TURN_RIGHT (prob: 0.2497)
Episode 100 | Step 1 | State: [0.162, 0.064, 0.000, 0.000, 1.000, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1303 | TURN_LEFT: 0.1717 | TURN_RIGHT: 0.2504 | FORWARD_LEFT: 0.1340 | FORWARD_RIGHT: 0.1839 | BACKWARD: 0.1297 | Selected: FORWARD_LEFT (prob: 0.1340)
